Location,Hygiene,Micromanagement,Working Hours,Salary,Age,Infrastructure,Food Quality,Incentives,Family Size,Experience,Share Price,Attrition,Contract Workers,Location_Score,Internal_Audit,External_Audit,Fin_Score,Loss_Score,Past_Score,IsUnderRisk
Latin America and the Caribbean,3,4,17,35934,64,4,1,429,7,16,924,25,2210,51.8,18.72772380952381,20.75191804894775,19.601371428571433,13.725000000000001,31.715866666666663,0
Asia-Pacific,5,8,10,38540,49,10,3,418,4,4,1461,26,7367,8.5,29.409457142857143,19.961096109610963,28.914647619047624,9.353333333333333,30.422133333333335,0
Africa,4,3,8,13114,61,9,4,6306,6,27,796,36,6345,8.5,22.28144761904762,18.81669595530982,23.591523809523814,17.634000000000004,28.887333333333338,0
Middle East,4,7,10,12905,32,8,5,8139,6,60,435,22,4777,18.0,40.0518761904762,14.794608032231796,25.29204761904762,5.896000000000001,31.508599999999998,0
Africa,2,10,17,37665,60,3,4,167,8,20,1213,7,273,18.0,22.840723809523812,25.06273484491306,16.081333333333333,16.110666666666667,21.738866666666667,0
Middle East,2,8,8,36888,67,3,2,9562,6,8,712,11,2986,13.1,16.511409523809526,19.827082708270826,23.045380952380953,12.417666666666667,19.50166666666667,1
Developed Economies and EU,2,10,1,37261,62,6,5,888,4,59,129,5,3806,46.9,22.70651428571429,20.26885545697427,38.65264761904761,3.871,24.22953333333333,0
Middle East,2,5,8,4106,37,3,1,7834,8,15,131,39,4425,13.1,27.857695238095243,16.91099109910991,15.024457142857143,14.063333333333336,26.607333333333333,0
Middle East,3,4,15,35927,41,10,5,3033,9,11,1432,27,6563,12.0,35.278000000000006,7.896461074678898,31.143685714285713,11.374333333333336,19.6524,0
Asia-Pacific,5,2,24,23934,34,4,2,219,1,28,371,11,1909,13.1,33.42588571428571,16.843612932721843,27.413438095238096,17.021,29.389000000000003,0
Africa,5,5,17,23537,13,5,4,593,10,27,813,23,9041,12.0,27.927942857142856,14.545368822596547,31.54934285714286,9.606666666666666,11.943600000000002,0
Middle East,1,1,18,7881,44,8,1,924,6,9,900,10,3972,51.8,29.423952380952382,13.452516680239453,34.99400000000001,9.727333333333334,23.550333333333327,1
Africa,5,10,6,16310,70,3,4,2079,8,43,965,33,7383,46.9,28.75761904761905,17.634592030631637,25.382914285714286,14.976999999999999,19.213800000000003,0
Middle East,4,3,23,33139,61,5,2,731,3,38,1336,23,6100,18.0,14.639952380952383,12.624848199105626,22.96958095238095,7.372333333333334,32.867000000000004,0
Central and South-Eastern Europe and CIS,5,2,21,30478,12,8,5,453,6,24,1492,22,8195,8.5,14.938485714285715,30.63727801351564,26.430133333333334,22.628666666666668,24.342466666666667,0
Africa,2,4,4,32175,13,9,5,4001,4,26,40,28,9726,8.5,20.960533333333334,23.821424999642826,31.53097142857143,15.970000000000004,39.88473333333333,1
Latin America and the Caribbean,3,8,16,29296,37,9,4,242,8,47,160,27,960,51.8,25.217352380952384,20.050133584787055,17.39001904761905,15.672,19.355933333333336,0
Latin America and the Caribbean,4,3,9,9921,43,8,4,524,3,7,700,26,6863,12.0,22.505533333333336,19.694040832654693,24.241361904761906,6.302333333333333,34.75233333333334,0
Central and South-Eastern Europe and CIS,3,10,18,39445,25,4,2,188,6,32,129,6,1173,46.9,25.006485714285713,19.890931950337894,18.8736380952381,7.946666666666669,26.744933333333336,0
Latin America and the Caribbean,4,4,6,43124,56,2,3,1759,8,24,1099,28,1856,46.9,33.19040952380952,21.65475118940466,24.273561904761905,10.293333333333333,34.65066666666667,0
Developed Economies and EU,3,6,3,7886,51,9,1,5538,1,40,1231,28,2829,13.1,38.10388571428572,23.73771662880574,30.66998095238096,15.318666666666669,20.335200000000004,0
